,POLIS_ID,LOSS_ID,DTP_DT,CLAIM_DT,PAY_ID,PAY_AMT,PAY_DT,DAMAGE_TYPE,IS_ALCHO_DMG,IS_DISAPPEAR,EURO_PROTOCOL,CREATE_DT,START_DT,END_DT,PREMIUM,DISSOLUTION_DT,VIN,CAR_ISSUE,CAR_DIAG_DT,PERS_POLIS_OWN,PERS_CAR_OWN,KLADR_CODE,MULTIDRIVE_FLG,BONUS_MALUS,CAR_ENG_PWR,TRAILER_FLG,CAR_WEIGHT,CAR_SEATS_CNT,USE_PURPOSE_FLG,REG_COUNTRY_FLG,START1,END1,START2,END2,START3,END3,hash_vin,PAY_AMT_sum,DRIVER_COUNT,MIN_DRIVER_AGE,MIN_DRIVER_EXP
0,109077,3946,01.01.2019,15.01.2019,4731,1147.23,22.01.2019,1,0,0,1,2018-03-12 00:00:00,2018-03-17 00:00:00,2019-03-16 00:00:00,7840.67,,78da84524ad0d47e7711942b254c6bb2f6541a49cef80b84875ff1355cd73c72,2008.0,2017-03-17 00:00:00,881EFCDBC4BBCFFF3F58BFC5AB35A8C133368CE4CAF90F425359C62DA45C0D8D,881EFCDBC4BBCFFF3F58BFC5AB35A8C133368CE4CAF90F425359C62DA45C0D8D,55000001.0,1,0.85,122.0,0,,,1,1,2018-03-17 00:00:00,2019-03-16 00:00:00,,,,,78da84524ad0d47e7711942b254c6bb2f6541a49cef80b84875ff1355cd73c72,20011.38,2.0,28.0,9.0
1,73378,4650,01.01.2019,01.02.2022,5549,5005.29,01.11.2022,1,0,0,0,2018-01-16 00:00:00,2018-01-16 00:00:00,2019-01-15 00:00:00,3755.62,,f15009fbfe83b7376b903b94f63b3c7dcd7fb9db4daa37118f4a7cfdd8b27dbd,2008.0,2018-01-16 00:00:00,966809F52A9A209DD9EDE11269A2E6DEB442D6A858B47AC0FFC852D7EAE293B2,83E3BF7D99D6A54D1E0B7720A0C8CACC2FD42284FE7795C1B9475F016FF2B5B1,10001000.0,1,0.95,105.0,0,,,1,1,2018-01-16 00:00:00,2019-01-15 00:00:00,,,,,f15009fbfe83b7376b903b94f63b3c7dcd7fb9db4daa37118f4a7cfdd8b27dbd,38731.48,2.0,38.0,12.0
2,46598,1089,01.01.2019,11.01.2019,1322,8896.37,07.03.2019,1,0,0,0,2018-09-12 00:00:00,2018-09-12 00:00:00,2019-09-11 00:00:00,3669.14,,744296a3a69b67608285d16080ae0df65d6b761e90bc753303769a8d12fdef83,1999.0,2019-09-13 00:00:00,9D34277FF065B2D919A1293FF6A5F8F55C123E82CC19872ECFFCD6F41087AEB2,9D34277FF065B2D919A1293FF6A5F8F55C123E82CC19872ECFFCD6F41087AEB2,35023001.0,1,0.9,78.0,0,,,1,1,2018-09-12 00:00:00,2019-09-11 00:00:00,,,,,744296a3a69b67608285d16080ae0df65d6b761e90bc753303769a8d12fdef83,8896.37,2.0,31.0,9.0
3,30308,3112,01.01.2019,16.01.2019,3755,23796.77,27.03.2019,1,0,0,0,2018-08-28 00:00:00,2018-08-28 00:00:00,2019-08-27 00:00:00,4733.64,,7e46f280b8a9aa99ab25fc9d17f96b402e9fa0214bb78e93350da3d744121b19,2017.0,,F980A777026E30FBBA581EC56CD561707657C6510106B039E0C0F3ED0295E910,F980A777026E30FBBA581EC56CD561707657C6510106B039E0C0F3ED0295E910,16000000.0,1,0.95,82.0,-1,,,1,1,2018-08-28 00:00:00,2019-08-27 00:00:00,,,,,7e46f280b8a9aa99ab25fc9d17f96b402e9fa0214bb78e93350da3d744121b19,23796.77,3.0,22.0,3.0
4,11500,4113,01.01.2019,05.03.2019,4923,63290.84,25.03.2019,1,0,0,0,2018-12-19 00:00:00,2018-12-20 00:00:00,2019-12-19 00:00:00,4323.9,,85c8c1ca808e0da6ec7b143d8dc815a9f91f3dd7da1892d5241f684f653a6114,2008.0,2018-12-19 00:00:00,00CA8815C332BC7A3EFEE4BA02CE208B0280293C1CAAE5011A183712517C9439,00CA8815C332BC7A3EFEE4BA02CE208B0280293C1CAAE5011A183712517C9439,36000001.0,1,0.5,150.0,-1,,,1,1,2018-12-20 00:00:00,2019-12-19 00:00:00,,,,,85c8c1ca808e0da6ec7b143d8dc815a9f91f3dd7da1892d5241f684f653a6114,63290.84,1.0,30.0,10.0
5,14890,2276,01.01.2019,23.06.2021,2726,150997.67,25.06.2021,1,0,0,0,2018-05-22 00:00:00,2018-05-22 00:00:00,2019-05-21 00:00:00,4076.82,,d40306471247be213f3933485af7d99cee1480441fc7c8dfa6706ba53cff4a75,2013.0,2020-05-21 00:00:00,589C2BA48B26A3D609A90367D19C1CE3EB9CAA5C7E187640CDFD68CA3F855334,589C2BA48B26A3D609A90367D19C1CE3EB9CAA5C7E187640CDFD68CA3F855334,2012000.0,1,0.9,87.0,0,,,1,1,2018-05-22 00:00:00,2019-05-21 00:00:00,,,,,d40306471247be213f3933485af7d99cee1480441fc7c8dfa6706ba53cff4a75,150997.67,1.0,29.0,9.0
6,101524,4120,01.02.2018,06.02.2018,4933,35102.81,20.02.2018,1,0,0,0,2018-01-30 00:00:00,2018-01-30 00:00:00,2019-01-29 00:00:00,6454.97,,f26e967efde99481aba2e6dd99ad58f2e2cc38a7fa7f87556a3f9a1fe1d240f5,2005.0,,17A72DEE8777B60989EEF91E18DF4FF7B6093EE1B1E5537CA1BF7F2DB8F0B958,17A72DEE8777B60989EEF91E18DF4FF7B6093EE1B1E5537CA1BF7F2DB8F0B958,71000001.0,1,0.95,98.0,0,,,1,1,2018-01-30 00:00:00,2019-01-29 00:00:00,,,,,f26e967efde99481aba2e6dd99ad58f2e2cc38a7fa7f87556a3f9a1fe1d240f5,35102.81,1.0,42.0,22.0
7,79858,1256,01.02.2018,05.02.2018,1532,50077.88,21.02.2018,1,0,0,0,2018-01-05 00:00:00,2018-01-09 00:00:00,2019-01-08 00:00:00,7350.63,,1125d5666fcbde734d598fac1afa8a02274c9f63efa0b80ba7c449831f1ffc6a,2010.0,2018-12-31 00:00:00,65F6DCAA1846E2A7249F4FF2C794E0A1D7640EA8234E0C7D1CE8A67C9D241915,65F6DCAA1846E2A7249F4FF2C794E0A1D7640EA8234E0C7D1CE8A67C9D241915,50000024.0,1,0.75,125.0,0,,,1,1,2018-01-09 00:00:00,2019-01-08 00:00:00,,,,,1125d5666fcbde734d598fac1afa8a02274c9f63efa0b80ba7c449831f1ffc6a,195366.63,1.0,52.0,18.0
8,80193,3411,01.02.2019,10.02.2019,4090,1043.98,19.04.2019,1,0,0,0,2018-05-22 00:00:00,2018-05-31 00:00:00,2019-05-30 00:00:00,6860.59,,83777c14fab691075830a3822af2617259767960aba9bf79f545fbcb503bcd8c,2017.0,,C1955D77284AC34A4F2F1408F85FE789F5C8C9DFED935A901C45E328FE8A3673,C1955D77284AC34A4F2F1408F85FE789F5C8C9DFED935A901C45E328FE8A3673,50000030.0,1,0.7,123.0,0,,,1,1,2018-05-31 00:00:00,2019-05-30 00:00:00,,,,,83777c14fab691075830a3822af2617259767960aba9bf79f545fbcb503bcd8c,188129.78,1.0,28.0,7.0
9,46168,2774,01.02.2019,11.07.2019,3330,1542.21,26.09.2019,1,0,0,0,2018-02-08 00:00:00,2018-02-10 00:00:00,2019-02-09 00:00:00,5765.2,,db6e36fab3c2d0db1ad88b853e85ef4c6c98b933303bc25c3cb3e5ff64ece9c4,2010.0,2018-02-08 00:00:00,5F752BB5C99CC4331A8F6BCFCD568A711705F654E7CE9460FB3F7470F985CBF6,5F752BB5C99CC4331A8F6BCFCD568A711705F654E7CE9460FB3F7470F985CBF6,77000000.0,1,0.5,122.0,0,,,1,1,2018-02-10 00:00:00,2019-02-09 00:00:00,,,,,db6e36fab3c2d0db1ad88b853e85ef4c6c98b933303bc25c3cb3e5ff64ece9c4,22779.52,1.0,38.0,20.0
