,USE_PURPOSE_FLG_2,USE_PURPOSE_FLG_3,USE_PURPOSE_FLG_5,USE_PURPOSE_FLG_6,REG_COUNTRY_FLG_1,REG_COUNTRY_FLG_2,FO_num_2.0,FO_num_3.0,FO_num_4.0,FO_num_5.0,FO_num_6.0,FO_num_7.0,FO_num_8.0,FO_num_nan,DAMAGE_TYPE_2,DAMAGE_TYPE_3,DTP_DT,EURO_PROTOCOL,PREMIUM,MULTIDRIVE_FLG,BONUS_MALUS,CAR_ENG_PWR,TRAILER_FLG,PAY_AMT_sum,DRIVER_COUNT,MIN_DRIVER_AGE,MIN_DRIVER_EXP,polis_length,days_to_dtp,carr_issue_diff,start1_diff,end1_diff,car_diag_diff
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,1,7840.67,1,0.85,122.0,0,20011.38,2.0,28.0,9.0,364.0,290.0,10.0,0.0,364.0,-365.0
1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,0,3755.62,1,0.95,105.0,0,38731.48,2.0,38.0,12.0,364.0,350.0,10.0,0.0,364.0,0.0
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,0,3669.14,1,0.9,78.0,0,8896.37,2.0,31.0,9.0,364.0,111.0,19.0,0.0,364.0,366.0
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,0,4733.64,1,0.95,82.0,-1,23796.77,3.0,22.0,3.0,364.0,126.0,1.0,0.0,364.0,-1.0
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,0,4323.9,1,0.5,150.0,-1,63290.84,1.0,30.0,10.0,364.0,12.0,10.0,0.0,364.0,-1.0
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,0,4076.82,1,0.9,87.0,0,150997.67,1.0,29.0,9.0,364.0,224.0,5.0,0.0,364.0,730.0
6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-02-01,0,6454.97,1,0.95,98.0,0,35102.81,1.0,42.0,22.0,364.0,2.0,13.0,0.0,364.0,-1.0
7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-02-01,0,7350.63,1,0.75,125.0,0,195366.63,1.0,52.0,18.0,364.0,23.0,8.0,0.0,364.0,356.0
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,6860.59,1,0.7,123.0,0,188129.78,1.0,28.0,7.0,364.0,246.0,1.0,0.0,364.0,-1.0
9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,5765.2,1,0.5,122.0,0,22779.52,1.0,38.0,20.0,364.0,356.0,8.0,0.0,364.0,-2.0
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,6918.24,1,1.0,116.0,-1,3311.11,1.0,80.0,9.0,364.0,174.0,10.0,0.0,364.0,-1.0
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,1,5649.9,1,0.7,126.0,0,9094.69,2.0,34.0,9.0,364.0,132.0,8.0,0.0,364.0,362.0
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,1,4941.6,1,1.0,105.0,0,11613.29,1.0,35.0,10.0,364.0,124.0,13.0,0.0,364.0,363.0
13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,1,5621.07,1,0.75,128.0,0,12764.58,1.0,42.0,9.0,364.0,45.0,13.0,0.0,364.0,366.0
14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,9512.58,1,1.0,95.0,0,12596.71,1.0,51.0,5.0,364.0,52.0,7.0,0.0,364.0,365.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,1,6860.59,1,0.7,150.0,0,21639.81,3.0,32.0,13.0,364.0,172.0,2.0,0.0,364.0,-1.0
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,9224.32,1,0.7,170.0,-1,49907.39,2.0,40.0,8.0,364.0,182.0,6.0,0.0,364.0,-1.0
17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,6860.59,1,0.7,123.0,0,188129.78,1.0,28.0,7.0,364.0,246.0,1.0,0.0,364.0,-1.0
18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,3159.54,1,1.55,98.0,0,72110.37,1.0,35.0,16.0,364.0,76.0,18.0,0.0,91.0,364.0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,13144.66,1,0.95,170.0,0,88751.67,2.0,35.0,10.0,364.0,337.0,11.0,0.0,364.0,-1.0
20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-01,0,11088.95,1,0.9,87.0,0,225943.86,2.0,48.0,2.0,364.0,288.0,3.0,0.0,364.0,729.0
